Test ID,Area,Priority,Title,Expected result,Status (Pass/Fail/Blocked),Notes / Bug ID
SMK-01,Smoke,P0,App boots at /,Landing renders; no console errors; no Lovable hosts,Pass,"Boots clean; no Lovable hosts. Two sidebar duplicate-key warnings FIXED (System-/settings, /partners in AppSidebar.tsx)."
SMK-02,Smoke,P0,Admin login,Lands on /dashboard; content loads,Pass,Admin lands on /dashboard; widgets + seeded data load.
SMK-03,Smoke,P0,Sidebar navigation,3 pages load without crash,Pass,"Dashboard, Engineers, Jobs, Invoices, Helpdesk, Analytics, Settings all render."
SMK-04,Smoke,P0,Logout + gate,Back to /login; protected route redirects,Pass,"RoleGuard: no user -> /login (verified in code + automation tab bounced to /login)."
SMK-05,Smoke,P1,Build + preview,npm run build & preview succeed,Not tested,Requires running production build locally; recommend `npm run build && npm run preview`.
AUTH-01,Auth,P0,Login all 4 roles,Each lands on its role home,Pass,"VERIFIED in browser: admin->/dashboard, engineer->/engineer/jobs, client->/client, teamlead->/teamlead."
AUTH-02,Auth,P0,Wrong password,Friendly 'incorrect email or password' toast,Pass,friendlyAuthError maps invalid_grant to clear message (Login.tsx).
AUTH-03,Auth,P1,Unknown email,Same friendly error,Pass,Same code path as AUTH-02.
AUTH-04,Auth,P2,Empty fields,'Email and password are required',Pass,Guard in Login.tsx submit handler.
AUTH-05,Auth,P0,Signup (confirm ON),'Check your email' + not 'signed in',Pass,"signUp returns no session when confirm on; honest 'Check your email' toast (code-verified)."
AUTH-06,Auth,P2,Weak password,'at least 8 characters',Pass,length<8 guard in Login.tsx.
AUTH-07,Auth,P1,Confirm then login,Confirm link works; sign-in succeeds,Not tested,Requires real email inbox; SMTP/confirm flow.
AUTH-08,Auth,P1,Forgot/reset password,Reset email; set new pwd,Not tested,Requires email; ForgotPassword/ResetPassword pages exist.
AUTH-09,Auth,P2,Bad reset link,'Invalid or expired link',Not tested,Requires reset token.
